
Comparision of LAMBDA-BEST and 3600-BEST

       test                    LAMBDA-BEST                3600-BEST   ratio

    TRAVERSE-1                 10.867                    7.230         1.50
    TRAVERSE-2                 50.200                   35.480         1.41
     BOYER-1                   10.570                   14.600         0.72
     BROWSE-1                  19.100                   30.130         0.63
     DERIV-1                    3.617                   13.480         0.27
     DESTRU-1                   2.467                    2.640         0.93
      DIV2-1                    2.817                    4.390         0.64
      DIV2-2                    2.634                    5.410         0.49
      FFT-1                    24.100                    3.190         7.55
      FFT-2                    13.200                      NIL          NIL
     PUZZLE-1                  18.184                   11.100         1.64
      STAK-1                    5.184                    2.300         2.25
      TAK-1                     0.192                    0.430         0.45
      TAKL-1                    4.984                    4.950         1.01
     TRIANG-1                 208.634                  116.680         1.79
     FRPOLY-1                   0.004                    0.010         0.45
     FRPOLY-2                   0.008                    0.020         0.39
     FRPOLY-3                   0.008                    0.010         0.80
     FRPOLY-4                   0.043                    0.100         0.43
     FRPOLY-5                   0.110                    0.250         0.44
     FRPOLY-6                   0.087                    0.100         0.87
     FRPOLY-7                   0.550                    0.930         0.59
     FRPOLY-8                   1.567                    3.300         0.47
     FRPOLY-9                   1.084                    1.000         1.08
    FRPOLY-10                   3.867                    5.700         0.68
    FRPOLY-11                  14.350                   25.080         0.57
    FRPOLY-12                   7.667                    6.300         1.22
      CTAK-1                    4.100                    5.080         0.81
     DDERIV-1                   6.800                   13.870         0.49
     FPRINT-1                  14.650                    2.600         5.63
     FREAD-1                   15.867                    4.600         3.45
      TAKR-1                    1.700                    0.430         3.95
     TPRINT-1                   6.600                    4.890         1.35


LAMBDA-BEST                             : 19 wins.
3600-BEST                               : 13 wins.


Comparision of S102-U753-MAR14 and 3600-BEST

       test                S102-U753-MAR14                3600-BEST   ratio

     BOYER-1                   32.834                   14.600         2.25
     BROWSE-1                  33.434                   30.130         1.11
      CTAK-1                    4.600                    5.080         0.91
     DDERIV-1                   7.867                   13.870         0.57
     DERIV-1                    6.917                   13.480         0.51
     DESTRU-1                   4.700                    2.640         1.78
      DIV2-1                    4.384                    4.390         1.00
      DIV2-2                    6.300                    5.410         1.16
      FFT-1                    29.717                    3.190         9.32
      FFT-2                    17.134                      NIL          NIL
     FPRINT-1                  15.617                    2.600         6.01
     FREAD-1                   18.784                    4.600         4.08
     FRPOLY-1                   0.012                    0.010         1.17
     FRPOLY-2                   0.015                    0.020         0.75
     FRPOLY-3                   0.016                    0.010         1.60
     FRPOLY-4                   0.120                    0.100         1.20
     FRPOLY-5                   0.193                    0.250         0.77
     FRPOLY-6                   0.170                    0.100         1.70
     FRPOLY-7                   1.300                    0.930         1.40
     FRPOLY-8                   2.600                    3.300         0.79
     FRPOLY-9                   2.000                    1.000         2.00
    FRPOLY-10                   9.200                    5.700         1.61
    FRPOLY-11                  21.684                   25.080         0.86
    FRPOLY-12                  14.000                    6.300         2.22
     PUZZLE-1                  33.317                   11.100         3.00
      STAK-1                    7.850                    2.300         3.41
      TAK-1                     1.700                    0.430         3.95
      TAKL-1                   13.500                    4.950         2.73
      TAKR-1                    1.950                    0.430         4.53
     TPRINT-1                   8.034                    4.890         1.64
    TRAVERSE-1                 24.350                    7.230         3.37
    TRAVERSE-2                156.767                   35.480         4.42
     TRIANG-1                 621.900                  116.680         5.33


S102-U753-MAR14                         :  8 wins.
3600-BEST                               : 24 wins.

