
Comparision of S102-U753-MAR14-UC and S102-U753-MAR14

       test             S102-U753-MAR14-UC          S102-U753-MAR14   ratio

    TRAVERSE-1                 10.867                   24.350         0.45
    TRAVERSE-2                 50.200                  156.767         0.32
     BOYER-1                    0.000                   32.834         0.00
     BROWSE-1                  19.100                   33.434         0.57
     DERIV-1                    3.617                    6.917         0.52
     DESTRU-1                   2.467                    4.700         0.52
      DIV2-1                    2.817                    4.384         0.64
      DIV2-2                    2.634                    6.300         0.42
      FFT-1                    24.100                   29.717         0.81
      FFT-2                    13.200                   17.134         0.77
     PUZZLE-1                  18.184                   33.317         0.55
      STAK-1                    5.184                    7.850         0.66
      TAK-1                     0.000                    1.700         0.00
      TAKL-1                    4.984                   13.500         0.37
     TRIANG-1                 208.634                  621.900         0.34
     FRPOLY-1                   0.004                    0.012         0.39
     FRPOLY-2                   0.008                    0.015         0.52
     FRPOLY-3                   0.008                    0.016         0.50
     FRPOLY-4                   0.043                    0.120         0.36
     FRPOLY-5                   0.110                    0.193         0.57
     FRPOLY-6                   0.087                    0.170         0.51
     FRPOLY-7                   0.550                    1.300         0.42
     FRPOLY-8                   1.567                    2.600         0.60
     FRPOLY-9                   1.084                    2.000         0.54
    FRPOLY-10                   3.867                    9.200         0.42
    FRPOLY-11                  14.350                   21.684         0.66
    FRPOLY-12                   7.667                   14.000         0.55
      CTAK-1                      NIL                    4.600          NIL
     DDERIV-1                     NIL                    7.867          NIL
     FPRINT-1                     NIL                   15.617          NIL
     FREAD-1                      NIL                   18.784          NIL
      TAKR-1                      NIL                    1.950          NIL
     TPRINT-1                     NIL                    8.034          NIL

Comparision of S102-U753-MAR14 and RPG-3600-PUB

       test                S102-U753-MAR14             RPG-3600-PUB   ratio

     BOYER-1                   32.834                   18.490         1.78
     BROWSE-1                  33.434                   41.010         0.82
      CTAK-1                    4.600                    7.700         0.60
     DDERIV-1                   7.867                   18.210         0.43
     DERIV-1                    6.917                   17.540         0.39
     DESTRU-1                   4.700                    3.700         1.27
      DIV2-1                    4.384                    5.530         0.79
      DIV2-2                    6.300                    6.660         0.95
      FFT-1                    29.717                    4.310         6.89
      FFT-2                    17.134                      NIL          NIL
     FPRINT-1                  15.617                    2.600         6.01
     FREAD-1                   18.784                    4.600         4.08
     FRPOLY-1                   0.012                    0.010         1.17
     FRPOLY-2                   0.015                    0.020         0.75
     FRPOLY-3                   0.016                    0.010         1.60
     FRPOLY-4                   0.120                    0.130         0.92
     FRPOLY-5                   0.193                    0.320         0.60
     FRPOLY-6                   0.170                    0.130         1.31
     FRPOLY-7                   1.300                    1.280         1.02
     FRPOLY-8                   2.600                    4.370         0.59
     FRPOLY-9                   2.000                    1.290         1.55
    FRPOLY-10                   9.200                    7.430         1.24
    FRPOLY-11                  21.684                   33.810         0.64
    FRPOLY-12                  14.000                    8.090         1.73
     PUZZLE-1                  33.317                   13.940         2.39
      STAK-1                    7.850                    2.580         3.04
      TAK-1                     1.700                    0.590         2.88
      TAKL-1                   13.500                    6.450         2.09
      TAKR-1                    1.950                    0.590         3.31
     TPRINT-1                   8.034                    4.890         1.64
    TRAVERSE-1                 24.350                    9.450         2.58
    TRAVERSE-2                156.767                   50.120         3.13
     TRIANG-1                 621.900                  151.970         4.09

