
Comparision of S102-U753-MAR14-C and S102-U753-MAR14

       test              S102-U753-MAR14-C          S102-U753-MAR14   ratio

     BOYER-1                   27.250                   32.834         0.83
     BROWSE-1                  27.434                   33.434         0.82
      CTAK-1                    4.100                    4.600         0.89
     DDERIV-1                   6.800                    7.867         0.86
     DERIV-1                    6.100                    6.917         0.88
     DESTRU-1                   3.800                    4.700         0.81
      DIV2-1                    3.667                    4.384         0.84
      DIV2-2                    5.434                    6.300         0.86
      FFT-1                    26.300                   29.717         0.89
      FFT-2                    15.200                   17.134         0.89
     FPRINT-1                  14.650                   15.617         0.94
     FREAD-1                   15.867                   18.784         0.84
     FRPOLY-1                   0.009                    0.012         0.76
     FRPOLY-2                   0.014                    0.015         0.93
     FRPOLY-3                   0.012                    0.016         0.75
     FRPOLY-4                   0.097                    0.120         0.81
     FRPOLY-5                   0.160                    0.193         0.83
     FRPOLY-6                   0.140                    0.170         0.82
     FRPOLY-7                   1.100                    1.300         0.85
     FRPOLY-8                   2.200                    2.600         0.85
     FRPOLY-9                   1.600                    2.000         0.80
    FRPOLY-10                   7.667                    9.200         0.83
    FRPOLY-11                  18.167                   21.684         0.84
    FRPOLY-12                  11.234                   14.000         0.80
     PUZZLE-1                  27.300                   33.317         0.82
      STAK-1                    6.300                    7.850         0.80
      TAK-1                     1.400                    1.700         0.82
      TAKL-1                   10.667                   13.500         0.79
      TAKR-1                    1.700                    1.950         0.87
     TPRINT-1                   6.600                    8.034         0.82
    TRAVERSE-1                 19.234                   24.350         0.79
    TRAVERSE-2                134.200                  156.767         0.86
     TRIANG-1                 495.234                  621.900         0.80

Comparision of S102-U753-MAR14-C and RPG-3600-PUB

       test              S102-U753-MAR14-C             RPG-3600-PUB   ratio

     BOYER-1                   27.250                   18.490         1.47
     BROWSE-1                  27.434                   41.010         0.67
      CTAK-1                    4.100                    7.700         0.53
     DDERIV-1                   6.800                   18.210         0.37
     DERIV-1                    6.100                   17.540         0.35
     DESTRU-1                   3.800                    3.700         1.03
      DIV2-1                    3.667                    5.530         0.66
      DIV2-2                    5.434                    6.660         0.82
      FFT-1                    26.300                    4.310         6.10
      FFT-2                    15.200                      NIL          NIL
     FPRINT-1                  14.650                    2.600         5.63
     FREAD-1                   15.867                    4.600         3.45
     FRPOLY-1                   0.009                    0.010         0.88
     FRPOLY-2                   0.014                    0.020         0.70
     FRPOLY-3                   0.012                    0.010         1.20
     FRPOLY-4                   0.097                    0.130         0.74
     FRPOLY-5                   0.160                    0.320         0.50
     FRPOLY-6                   0.140                    0.130         1.08
     FRPOLY-7                   1.100                    1.280         0.86
     FRPOLY-8                   2.200                    4.370         0.50
     FRPOLY-9                   1.600                    1.290         1.24
    FRPOLY-10                   7.667                    7.430         1.03
    FRPOLY-11                  18.167                   33.810         0.54
    FRPOLY-12                  11.234                    8.090         1.39
     PUZZLE-1                  27.300                   13.940         1.96
      STAK-1                    6.300                    2.580         2.44
      TAK-1                     1.400                    0.590         2.37
      TAKL-1                   10.667                    6.450         1.65
      TAKR-1                    1.700                    0.590         2.88
     TPRINT-1                   6.600                    4.890         1.35
    TRAVERSE-1                 19.234                    9.450         2.04
    TRAVERSE-2                134.200                   50.120         2.68
     TRIANG-1                 495.234                  151.970         3.26

Comparision of S102-U753-MAR14-C and RPG-3600IFU-PUB

       test              S102-U753-MAR14-C          RPG-3600IFU-PUB   ratio

     BOYER-1                   27.250                   14.600         1.87
     BROWSE-1                  27.434                   30.130         0.91
      CTAK-1                    4.100                    5.080         0.81
     DDERIV-1                   6.800                   13.870         0.49
     DERIV-1                    6.100                   13.480         0.45
     DESTRU-1                   3.800                    2.640         1.44
      DIV2-1                    3.667                    4.390         0.84
      DIV2-2                    5.434                    5.410         1.00
